"id"	"row"	"col"	"parcellation_structure"	"parcellation_substructure"	"consensus_lca_16"	"consensus_kmodes_16"	"consensus_weighted_16"	"consensus_lca_20"	"consensus_kmodes_20"	"consensus_weighted_20"	"consensus_lca_24"	"consensus_kmodes_24"	"consensus_weighted_24"	"consensus_lca_28"	"consensus_kmodes_28"	"consensus_weighted_28"
"1017092617101980726"	"1017092617101980726"	3123.71061114321	-5877.82440343328	"RT"	"RT"	15	10	9	9	10	11	17	20	10	28	13	11
"1017092617101980208-1"	"1017092617101980208-1"	2975.7943271336	-5459.42256125865	"RT"	"RT"	15	5	9	9	10	11	17	21	10	28	13	11
"1017092617101740758"	"1017092617101740758"	3105.8777256402	-5331.48063653323	"RT"	"RT"	15	5	9	9	10	11	17	5	10	28	13	11
"1017092617102080571"	"1017092617102080571"	7904.72685601686	-5055.12241374733	"RT"	"RT"	15	6	9	9	10	11	17	10	10	28	13	11
"1017092617102770467-1"	"1017092617102770467-1"	6726.06559678982	-6700.6040225582	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617101980491-1"	"1017092617101980491-1"	3011.81975860766	-5702.84981083023	"RT"	"RT"	15	1	9	9	10	11	17	23	10	28	13	11
"1017092617101980156-1"	"1017092617101980156-1"	2905.29223918726	-5449.1313591023	"RT"	"RT"	15	14	9	9	10	11	17	9	10	28	13	11
"1017092617101980627"	"1017092617101980627"	3019.16871066503	-5839.48613399613	"RT"	"RT"	15	2	9	9	10	11	17	6	10	28	13	11
"1017092617101980141"	"1017092617101980141"	2839.44488182856	-5413.67112589669	"RT"	"RT"	15	6	9	9	10	11	17	2	10	28	13	11
"1017092617101740134"	"1017092617101740134"	3125.09426584469	-4986.31506964273	"RT"	"RT"	15	15	9	9	10	11	17	6	10	28	13	11
"1017092617102320086"	"1017092617102320086"	8074.84051928478	-5253.52870060952	"RT"	"RT"	15	7	9	9	10	11	17	20	10	28	13	11
"1017092617102320543-1"	"1017092617102320543-1"	8041.81523798072	-5600.26719105884	"RT"	"RT"	15	9	9	9	10	11	17	23	10	28	13	11
"1017092617102320384"	"1017092617102320384"	8110.20075763317	-5471.32424227037	"RT"	"RT"	15	4	9	9	10	11	17	2	10	28	13	11
"1017092617102080508"	"1017092617102080508"	8067.56275676913	-5003.40225263499	"LGv"	"LGv"	15	10	9	9	10	11	17	22	10	28	13	11
"1017092617102320790"	"1017092617102320790"	8203.95214595262	-5676.11091902468	"RT"	"RT"	15	3	9	9	10	11	17	10	10	28	13	11
"1017092617101980531"	"1017092617101980531"	2994.53958202757	-5739.49574025596	"RT"	"RT"	15	4	9	9	10	11	17	16	10	28	13	11
"1017092617101500853"	"1017092617101500853"	3088.56709779825	-4941.28204122652	"LGv"	"LGv"	15	11	9	9	10	11	17	4	10	28	13	11
"1017092617102560104"	"1017092617102560104"	7834.29055215691	-5846.17736421768	"RT"	"RT"	15	9	9	9	10	11	17	11	10	28	13	11
"1017092617102720129"	"1017092617102720129"	4430.79781128451	-6747.82600548273	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617101740528"	"1017092617101740528"	3059.20617806818	-5218.86465985697	"RT"	"RT"	15	16	9	9	10	11	17	20	10	28	13	11
"1017092617201740659"	"1017092617201740659"	3092.97494628243	-5355.70791552805	"RT"	"RT"	15	3	9	9	10	11	17	18	10	28	13	11
"1017092617102320530"	"1017092617102320530"	8186.47145996217	-5549.20809798638	"RT"	"RT"	15	11	9	9	10	11	17	18	10	28	13	11
"1017092617102470125"	"1017092617102470125"	3844.8566574445	-6394.36318725244	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102560120"	"1017092617102560120"	7829.01541494537	-5855.43935714361	"RT"	"RT"	15	7	9	9	10	11	17	7	10	28	13	11
"1017092617101980814"	"1017092617101980814"	3196.23650119151	-5918.9111800567	"RT"	"RT"	15	13	9	9	10	11	17	20	10	28	13	11
"1017092617102080592"	"1017092617102080592"	7995.5118887149	-5054.5724571639	"RT"	"RT"	15	7	9	9	10	11	17	15	10	28	13	11
"1017092617102760138-1"	"1017092617102760138-1"	6178.92413980587	-6620.52781544588	"VM"	"VM"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102320068-1"	"1017092617102320068-1"	8029.96459875346	-5253.28491735867	"RT"	"RT"	15	1	9	9	10	11	17	17	10	28	13	11
"1017092617102560138"	"1017092617102560138"	7859.39401651373	-5869.53501337577	"RT"	"RT"	15	2	9	9	10	11	17	4	10	28	13	11
"1017092617102320578"	"1017092617102320578"	8290.34420386719	-5563.6894866319	"RT"	"RT"	15	7	9	9	10	11	17	18	10	28	13	11
"1017092617102320528"	"1017092617102320528"	8289.34410302225	-5528.55639758028	"RT"	"RT"	15	1	9	9	10	11	17	3	10	28	13	11
"1017092617102730188"	"1017092617102730188"	4596.07685491305	-6779.9227412808	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617101740351"	"1017092617101740351"	3076.79815181068	-5121.23625658229	"RT"	"RT"	15	5	9	9	10	11	17	6	10	28	13	11
"1017092617102730032"	"1017092617102730032"	4559.89247486032	-6730.59663400156	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617102480550-1"	"1017092617102480550-1"	4178.53513830717	-6622.91131437016	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102080658"	"1017092617102080658"	7911.86818345954	-5114.64303857579	"RT"	"RT"	15	16	9	9	10	11	17	11	10	28	13	11
"1017092617102770319-1"	"1017092617102770319-1"	6830.61745145696	-6601.38321890973	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617101740330"	"1017092617101740330"	3102.27127144937	-5108.59079961543	"RT"	"RT"	15	7	9	9	10	11	17	18	10	28	13	11
"1017092617102320607-1"	"1017092617102320607-1"	8279.06403209226	-5582.65685916652	"RT"	"RT"	15	13	9	9	10	11	17	10	10	28	13	11
"1017092617101740796"	"1017092617101740796"	3017.34691841766	-5368.72364669541	"RT"	"RT"	15	9	9	9	10	11	17	4	10	28	13	11
"1017092617101740293"	"1017092617101740293"	3002.57312605657	-5104.07747193328	"RT"	"RT"	15	7	9	9	10	11	17	23	10	28	13	11
"1017092617101980412-1"	"1017092617101980412-1"	3061.88383236738	-5621.57005233587	"RT"	"RT"	15	7	9	9	10	11	17	16	10	28	13	11
"1017092617102770384-1"	"1017092617102770384-1"	6763.01610342989	-6652.59243093746	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617101980261-1"	"1017092617101980261-1"	3048.2458909324	-5478.77592463625	"RT"	"RT"	15	15	9	9	10	11	17	7	10	28	13	11
"1017092617102560080"	"1017092617102560080"	7891.25936481768	-5828.77549996721	"RT"	"RT"	15	15	9	9	10	11	17	1	10	28	13	11
"1017092617102320722"	"1017092617102320722"	7900.39394438579	-5775.49984467591	"RT"	"RT"	15	5	9	9	10	11	17	3	10	28	13	11
"1017092617102720097"	"1017092617102720097"	4473.94981661534	-6740.0444969313	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102320303"	"1017092617102320303"	8015.42163409663	-5430.56570499324	"RT"	"RT"	15	15	9	9	10	11	17	16	10	28	13	11
"1017092617102320654-1"	"1017092617102320654-1"	7965.27155794094	-5726.99492374891	"RT"	"RT"	15	9	9	9	10	11	17	23	10	28	13	11
"1017092617101740371"	"1017092617101740371"	3215.19858428309	-5134.57331441319	"RT"	"RT"	15	4	9	9	10	11	17	17	10	28	13	11
"1017092617102730107"	"1017092617102730107"	4627.1273197876	-6757.99098732092	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	10
"1017092617102480684"	"1017092617102480684"	4314.87724140761	-6700.63015575658	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102320775"	"1017092617102320775"	8220.59855423114	-5667.3659428791	"RT"	"RT"	15	3	9	9	10	11	17	18	10	28	13	11
"1017092617102320663-1"	"1017092617102320663-1"	8053.92913956061	-5709.09899362922	"RT"	"RT"	15	7	9	9	10	11	17	4	10	28	13	11
"1017092617102480588-1"	"1017092617102480588-1"	4395.96013894418	-6666.42295588416	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617101980540-1"	"1017092617101980540-1"	2995.4375287742	-5757.24285519807	"RT"	"RT"	15	10	9	9	10	11	17	9	10	28	13	11
"1017092617102080735"	"1017092617102080735"	8030.7528630235	-5159.94216605056	"RT"	"RT"	15	3	9	9	10	11	17	22	10	28	13	11
"1017092617101740462"	"1017092617101740462"	3003.79636089793	-5217.79170066068	"RT"	"RT"	15	4	9	9	10	11	17	13	10	28	13	11
"1017092617102470488-1"	"1017092617102470488-1"	3948.19804249512	-6558.93905902167	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617101740313"	"1017092617101740313"	3032.73771463747	-5110.47501730975	"RT"	"RT"	15	10	9	9	10	11	17	16	10	28	13	11
"1017092617102770409"	"1017092617102770409"	6519.10603481656	-6718.40102008604	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617101980383"	"1017092617101980383"	3055.18454275207	-5605.98246002069	"RT"	"RT"	15	16	9	9	10	11	17	5	10	28	13	11
"1017092617102220070"	"1017092617102220070"	3212.73001916369	-5980.00517611895	"RT"	"RT"	15	12	9	9	10	11	17	13	10	28	13	11
"1017092617102080555"	"1017092617102080555"	8058.47780624784	-5031.5556479185	"RT"	"RT"	15	10	9	9	10	11	17	2	10	28	13	11
"1017092617102320559-1"	"1017092617102320559-1"	7965.37190420037	-5646.72236289603	"RT"	"RT"	15	5	9	9	10	11	17	19	10	28	13	11
"1017092617102560113"	"1017092617102560113"	7848.54051437589	-5857.76331964685	"RT"	"RT"	15	1	9	9	10	11	17	2	10	28	13	11
"1017092617102480517"	"1017092617102480517"	4366.12759766346	-6632.83889073303	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617102490626-1"	"1017092617102490626-1"	4495.05706488191	-6702.06286326474	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102480399"	"1017092617102480399"	4060.37698984723	-6545.23181691184	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	13	5	27	10
"1017092617102480508-1"	"1017092617102480508-1"	4073.13361527909	-6594.41089106675	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102480506-1"	"1017092617102480506-1"	4180.98761007022	-6604.13778684113	"ZI"	"ZI-unassigned"	14	10	6	6	1	9	21	22	16	18	9	19
"1017092617102320655-1"	"1017092617102320655-1"	8131.03724917189	-5656.99794888833	"RT"	"RT"	15	12	9	9	10	11	17	10	10	28	13	11
"1017092617102730239"	"1017092617102730239"	4666.66171905485	-6798.04716406965	"ZI"	"ZI-unassigned"	14	10	6	6	1	18	21	22	16	18	9	19
"1017092617102320143-1"	"1017092617102320143-1"	8004.63362490592	-5309.90711790994	"RT"	"RT"	15	3	9	9	10	11	17	24	10	28	13	11
"1017092617101740431"	"1017092617101740431"	3014.52852723793	-5204.95405942175	"RT"	"RT"	15	8	9	9	10	11	17	17	10	28	13	11
"1017092617101980612"	"1017092617101980612"	3014.2218638128	-5826.72121552068	"RT"	"RT"	15	15	9	9	10	11	17	4	10	28	13	11
"1017092617101740332"	"1017092617101740332"	2989.6594947302	-5132.42783517756	"RT"	"RT"	15	13	9	9	10	11	17	24	10	28	13	11
