"id"	"row"	"col"	"parcellation_structure"	"parcellation_substructure"	"consensus_lca_16"	"consensus_kmodes_16"	"consensus_weighted_16"	"consensus_lca_20"	"consensus_kmodes_20"	"consensus_weighted_20"	"consensus_lca_24"	"consensus_kmodes_24"	"consensus_weighted_24"	"consensus_lca_28"	"consensus_kmodes_28"	"consensus_weighted_28"
"1017092617101990546-1"	"1017092617101990546-1"	3614.08990060896	-5676.80678648058	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102290165-1"	"1017092617102290165-1"	6563.27728587355	-5542.35561767831	"PO"	"PO"	10	8	2	5	13	0	14	2	1	10	26	1
"1017092617102550097"	"1017092617102550097"	7693.43173191624	-5870.77317888306	"VPL"	"VPL"	7	12	0	4	8	2	11	4	22	27	3	10
"1017092617102290182-1"	"1017092617102290182-1"	6343.13299177643	-5580.92848908593	"PCN"	"PCN"	10	8	2	5	13	0	14	2	1	8	24	1
"1017092617101510335-1"	"1017092617101510335-1"	3541.594995256	-4560.19568699092	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102290148-1"	"1017092617102290148-1"	6480.29902401304	-5527.33727664885	"PO"	"PO"	10	8	2	5	13	0	14	13	1	10	10	1
"1017092617101810403-1"	"1017092617101810403-1"	6625.58095545017	-4748.44501194299	"LP"	"LP"	13	15	2	17	19	7	14	16	4	10	10	21
"1017092617101990532-1"	"1017092617101990532-1"	3411.98373048654	-5724.95478386469	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101520594"	"1017092617101520594"	3886.74010670162	-4749.6718158007	"LP"	"LP"	13	15	2	17	11	7	24	12	6	24	4	1
"1017092617102310419-1"	"1017092617102310419-1"	7332.37090595589	-5630.80870029768	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102280246-1"	"1017092617102280246-1"	5854.22679439517	-5685.73503817197	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102310428-1"	"1017092617102310428-1"	7650.52759198496	-5631.85752204245	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102060448"	"1017092617102060448"	6897.57812746651	-5267.20465537685	"PO"	"PO"	10	8	2	5	17	0	14	17	1	8	24	1
"1017092617102280248-1"	"1017092617102280248-1"	5802.57603165571	-5692.70557490405	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102310417-1"	"1017092617102310417-1"	7434.56156593632	-5620.80417433728	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101820643"	"1017092617101820643"	6811.12946930079	-4895.07052073295	"PO"	"PO"	10	8	2	5	13	0	14	17	1	7	24	1
"1017092617101830584-1"	"1017092617101830584-1"	7161.47126848342	-4845.4756034843	"PO"	"PO"	13	15	2	17	17	7	7	17	1	24	4	1
"1017092617102520124"	"1017092617102520124"	6253.43381756967	-6031.75368967015	"VM"	"VM"	1	5	4	8	14	6	5	20	8	21	15	9
"1017092617101820648"	"1017092617101820648"	7109.09611654032	-4854.48121480594	"PO"	"PO"	13	15	2	17	17	7	7	17	1	24	4	1
"1017092617102050505"	"1017092617102050505"	6396.58571801245	-5354.9444065134	"CL"	"CL"	10	8	2	5	13	0	14	17	1	10	10	1
"1017092617102280226"	"1017092617102280226"	5892.09129398154	-5665.95540840549	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617102070128"	"1017092617102070128"	7168.37105043308	-4937.85645817992	"PO"	"PO"	7	12	2	4	8	2	7	19	3	27	3	3
"1017092617101520426-1"	"1017092617101520426-1"	4126.05053430375	-4587.15115528981	"LP"	"LP"	13	15	12	17	11	7	24	5	6	24	11	7
"1017092617102280095-1"	"1017092617102280095-1"	5849.06052644917	-5570.11241549731	"MD"	"MD"	8	1	1	2	3	4	3	7	2	4	18	18
"1017092617101820063-1"	"1017092617101820063-1"	6832.33915153698	-4490.67265146779	"LP"	"LP"	6	13	3	17	15	7	24	12	6	24	11	7
"1017092617102000119-1"	"1017092617102000119-1"	4207.62456765823	-5300.5113536759	"PO"	"PO"	10	8	2	5	13	0	14	17	1	9	26	1
"1017092617101760280"	"1017092617101760280"	3958.32723431412	-4975.72876388837	"PO"	"PO"	10	8	2	5	17	0	14	2	1	8	24	1
"1017092617102040512"	"1017092617102040512"	6094.56926585309	-5378.6217610518	"MD"	"MD"	8	1	1	2	3	4	3	23	2	1	18	2
"1017092617102070311"	"1017092617102070311"	7536.72557365985	-5006.71554419807	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102060465"	"1017092617102060465"	7157.00887144564	-5242.97419138483	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101830054-1"	"1017092617101830054-1"	7443.19840060948	-4390.45749140725	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102000297-1"	"1017092617102000297-1"	3958.6631946044	-5475.28279515223	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070306"	"1017092617102070306"	7363.65940878184	-5041.15774480132	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101760431"	"1017092617101760431"	3828.13419981352	-5150.90833539465	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750195"	"1017092617101750195"	3529.13594049123	-5019.12650940699	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000286"	"1017092617102000286"	3945.8773707049	-5467.35569858538	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101760424"	"1017092617101760424"	3804.19648865912	-5150.45801502276	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070292"	"1017092617102070292"	7223.4012203351	-5051.32201075663	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102300051"	"1017092617102300051"	7185.79319759888	-5363.5984867128	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990056-1"	"1017092617101990056-1"	3531.24445038498	-5319.33133359439	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070315"	"1017092617102070315"	7556.76534700591	-5005.16888051678	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101830061-1"	"1017092617101830061-1"	7351.50503918987	-4405.55367870441	"LP"	"LP"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101990547"	"1017092617101990547"	3607.46299809401	-5679.90039493822	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102070309"	"1017092617102070309"	7286.51788766119	-5052.67170889702	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102240148"	"1017092617102240148"	4100.89976249342	-5861.86084287052	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	27	5	3
"1017092617102080082"	"1017092617102080082"	7744.92291234929	-4748.86225344291	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101990513-1"	"1017092617101990513-1"	3798.02752025265	-5629.33198571949	"VPM"	"VPM"	2	2	0	4	8	2	19	6	0	19	7	0
"1017092617102300065-1"	"1017092617102300065-1"	6977.90628152889	-5404.29825141102	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750168"	"1017092617101750168"	3605.24617585435	-4959.1620296829	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102300055"	"1017092617102300055"	7164.47065486843	-5375.71767762578	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	7	0
"1017092617102310127"	"1017092617102310127"	7457.57840485564	-5393.60907549507	"VPM"	"VPM"	2	2	0	18	4	1	19	18	0	11	25	17
"1017092617102060460"	"1017092617102060460"	7082.23639760393	-5257.04292517092	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990542-1"	"1017092617101990542-1"	3832.71605128563	-5651.22683910491	"VPM"	"VPM"	2	2	0	4	4	1	19	18	0	19	7	0
"1017092617101830585-1"	"1017092617101830585-1"	7333.20536442603	-4818.04178744859	"PO"	"PO"	7	12	0	4	8	2	11	9	3	11	25	17
"1017092617102300061"	"1017092617102300061"	7133.48345497149	-5379.55759332477	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102300052"	"1017092617102300052"	7068.54299932071	-5376.01432946767	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070296"	"1017092617102070296"	7352.69318491424	-5038.56152690694	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102300053"	"1017092617102300053"	6995.93129820737	-5395.27242419762	"PO"	"PO"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617101980127-1"	"1017092617101980127-1"	3247.30542352476	-5381.0530409901	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101590910"	"1017092617101590910"	7408.14468127957	-4381.29143989543	"LP"	"LP"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101750386"	"1017092617101750386"	3607.37816300581	-5103.82929887408	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101830612-1"	"1017092617101830612-1"	7397.09501323479	-4802.57156585009	"LP"	"LP"	7	12	0	4	8	2	11	6	3	19	7	3
"1017092617101830048"	"1017092617101830048"	7376.71678564562	-4391.16969113306	"LP"	"LP"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101990521-1"	"1017092617101990521-1"	3601.95685767945	-5661.84381945073	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102240133"	"1017092617102240133"	4126.37750989526	-5836.54136097297	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101840473-1"	"1017092617101840473-1"	7694.57270802735	-4562.15311783249	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101990545-1"	"1017092617101990545-1"	3832.32115786355	-5646.96747611934	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	19	7	0
"1017092617101750382"	"1017092617101750382"	3774.23951536557	-5076.6771803839	"PO"	"PO"	2	2	0	18	4	1	18	18	0	19	5	26
"1017092617101750675"	"1017092617101750675"	3663.99706523616	-5290.7310478009	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102240150"	"1017092617102240150"	4053.88335011336	-5879.77132503408	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102540315"	"1017092617102540315"	7032.85365430527	-6239.88742102266	"VPL"	"VPL"	7	12	0	4	8	2	11	4	22	27	3	3
"1017092617101830606"	"1017092617101830606"	7291.00598185078	-4834.09064399194	"PO"	"PO"	7	12	0	4	8	2	11	9	3	19	5	26
"1017092617101990535-1"	"1017092617101990535-1"	3451.79815383483	-5712.48401712673	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101990540-1"	"1017092617101990540-1"	3862.02980295392	-5643.14029628696	"VPM"	"VPM"	2	2	0	18	4	1	19	6	3	19	7	0
"1017092617101840208-1"	"1017092617101840208-1"	7562.08060718563	-4438.74132058852	"LGd"	"LGd-ip"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102000309-1"	"1017092617102000309-1"	3981.26586870036	-5484.98069692821	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070026"	"1017092617102070026"	7420.78918827661	-4794.08997661161	"LP"	"LP"	7	2	0	4	8	2	18	18	0	26	7	0
"1017092617101980411-1"	"1017092617101980411-1"	3154.49038191457	-5607.26128437901	"VPL"	"VPL"	7	12	0	4	8	2	11	9	10	19	4	24
"1017092617102070385"	"1017092617102070385"	7488.03714972355	-5087.54343996843	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617102060436"	"1017092617102060436"	7057.16641737755	-5239.23170386643	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070039"	"1017092617102070039"	7382.74425125715	-4812.38110830677	"PO"	"PO"	7	12	0	4	8	2	11	9	3	19	7	3
"1017092617101750380"	"1017092617101750380"	3701.11562734149	-5084.32979080463	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750379"	"1017092617101750379"	3740.62699626373	-5079.02074008277	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000302-1"	"1017092617102000302-1"	3880.2496344407	-5490.86685260126	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101510060"	"1017092617101510060"	3291.1688301146	-4463.69323937409	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102070310"	"1017092617102070310"	7382.86607800398	-5043.84488484593	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070294"	"1017092617102070294"	7269.53173745169	-5043.0653611737	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101840487-1"	"1017092617101840487-1"	7944.98046562885	-4568.36535213728	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102060628"	"1017092617102060628"	6951.68896359421	-5398.61991907813	"PO"	"PO"	7	12	0	4	8	2	19	6	3	19	7	0
"1017092617102070047"	"1017092617102070047"	7487.81743917824	-4786.56515665493	"LP"	"LP"	4	4	5	3	20	5	11	18	0	19	28	0
"1017092617102070025"	"1017092617102070025"	7440.63254694967	-4786.48407144791	"LP"	"LP"	7	12	5	4	8	2	11	18	0	19	7	0
"1017092617101750174"	"1017092617101750174"	3443.98900988335	-5044.38029571871	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102060453"	"1017092617102060453"	7176.85226858295	-5236.19824257734	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617101750175"	"1017092617101750175"	3689.10750072524	-4935.29752221268	"PO"	"PO"	7	12	0	4	8	2	11	6	3	27	10	26
"1017092617102000268-1"	"1017092617102000268-1"	4025.81869713438	-5444.29830685015	"PO"	"PO"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617101990597-1"	"1017092617101990597-1"	3638.55674547249	-5702.51778145319	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	27	3	3
"1017092617101840467-1"	"1017092617101840467-1"	7844.1491674042	-4567.50010739704	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102240140"	"1017092617102240140"	3953.93226217846	-5872.75116963303	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	19	3	3
"1017092617101990517-1"	"1017092617101990517-1"	3773.87071834671	-5628.45632079153	"VPM"	"VPM"	2	2	0	18	4	1	19	6	0	19	7	0
"1017092617102080565"	"1017092617102080565"	7712.48191314964	-5099.57013519541	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	5	0
"1017092617101750652"	"1017092617101750652"	3685.28994360695	-5270.13998447289	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102240271"	"1017092617102240271"	4298.3524666128	-5944.16983949177	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617101750389"	"1017092617101750389"	3731.52949945955	-5085.67993880452	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000269-1"	"1017092617102000269-1"	3921.87835609871	-5464.72949987396	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617101750383"	"1017092617101750383"	3755.56653474594	-5076.7347903046	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070403"	"1017092617102070403"	7332.76296796643	-5122.95964890897	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101510408-1"	"1017092617101510408-1"	3323.79237553662	-4678.77760114555	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102070273"	"1017092617102070273"	7227.59152897236	-5035.51468938971	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070394"	"1017092617102070394"	7246.02255169866	-5126.2377465018	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617101750662"	"1017092617101750662"	3471.52427472831	-5306.01819223917	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102540311"	"1017092617102540311"	6870.8265763579	-6177.5641955166	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102060437"	"1017092617102060437"	7118.54219911763	-5233.32571894051	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990224-1"	"1017092617101990224-1"	3839.83988775936	-5393.92298614807	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750182"	"1017092617101750182"	3422.27350693857	-5053.09545469554	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102320261-1"	"1017092617102320261-1"	7849.08283417827	-5424.0056280245	"VPL"	"VPL"	7	12	0	4	8	2	11	14	3	27	5	26
"1017092617102070391"	"1017092617102070391"	7527.19203878411	-5083.72761481897	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617202000514"	"1017092617202000514"	4172.90531584417	-5671.73271389023	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	27	5	3
"1017092617101750670"	"1017092617101750670"	3745.55789895544	-5278.30113163912	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102300523-1"	"1017092617102300523-1"	7057.52947956353	-5780.18130595575	"VPM"	"VPM"	7	12	0	4	8	2	19	14	3	11	25	17
"1017092617101750188"	"1017092617101750188"	3451.47315093187	-5049.68290376095	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070293"	"1017092617102070293"	7263.66629995021	-5043.09346509913	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000275-1"	"1017092617102000275-1"	4003.30092537167	-5450.3888955862	"VPM"	"VPM"	2	2	0	18	4	1	19	6	3	19	7	0
"1017092617102070283"	"1017092617102070283"	7311.67243861011	-5032.57371536448	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070290"	"1017092617102070290"	7548.4815546709	-4989.08679061788	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750673"	"1017092617101750673"	3713.54816364179	-5285.65253239263	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102040065-1"	"1017092617102040065-1"	5918.43292521574	-5070.59090314882	"PVT"	"PVT"	6	3	15	11	16	16	8	24	21	17	6	23
"1017092617102500435-1"	"1017092617102500435-1"	5208.55090610871	-6405.15491684866	"SMT"	"SMT"	5	5	4	20	2	6	22	11	18	23	22	23
"1017092617102060486"	"1017092617102060486"	7019.94256850542	-5278.83886161047	"PO"	"PO"	2	2	0	18	4	1	18	18	0	26	7	0
"1017092617201990260"	"1017092617201990260"	3524.94049907658	-5467.68218347152	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617101980492-1"	"1017092617101980492-1"	3178.89587047865	-5671.82978829496	"VPL"	"VPL"	7	12	0	4	8	2	11	9	3	19	7	0
"1017092617202000535-1"	"1017092617202000535-1"	4077.31317569013	-5714.99644829635	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617101990160-1"	"1017092617101990160-1"	3392.59118878727	-5395.90164817912	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617101840108"	"1017092617101840108"	7699.18145408712	-4374.16748442268	"LGd"	"LGd-sh"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102060578"	"1017092617102060578"	7118.27590651642	-5337.33539711413	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070449"	"1017092617102070449"	7377.66290172861	-5146.81885029811	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070693"	"1017092617102070693"	7693.16348311768	-5256.3222617661	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102060401"	"1017092617102060401"	7129.02862913267	-5204.61402854133	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102310402"	"1017092617102310402"	7587.95227596184	-5601.73316238821	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617101750198"	"1017092617101750198"	3625.7028953154	-4969.7756350267	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101760453"	"1017092617101760453"	3823.53864029437	-5171.50304524479	"PO"	"PO"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101990554-1"	"1017092617101990554-1"	3369.90104208596	-5758.40571782229	"VPL"	"VPL"	7	12	0	4	8	2	19	14	3	27	3	3
"1017092617101990583"	"1017092617101990583"	3596.21124080573	-5709.50935915667	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102000364-1"	"1017092617102000364-1"	3939.76153245408	-5535.88672737268	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070395"	"1017092617102070395"	7480.14041895873	-5099.02805260544	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102230022"	"1017092617102230022"	3509.55287926916	-5857.39352673856	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617102080703"	"1017092617102080703"	7719.07726363328	-5191.69565645002	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101760528"	"1017092617101760528"	3836.2375366367	-5234.4845079537	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000371-1"	"1017092617102000371-1"	4105.23242636543	-5522.21239228839	"PO"	"PO"	10	8	2	5	17	0	7	19	1	9	26	17
"1017092617102060523"	"1017092617102060523"	7030.86192306918	-5311.59894270049	"PO"	"PO"	2	2	0	18	4	1	18	18	0	19	7	0
"1017092617101990615"	"1017092617101990615"	3440.49502439837	-5779.12252400012	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	19	3	3
"1017092617102080675"	"1017092617102080675"	7820.98038506115	-5145.65642909448	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617102310404"	"1017092617102310404"	7441.02019022847	-5610.07720400867	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102310397"	"1017092617102310397"	7502.35029707098	-5598.85890109261	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101750625"	"1017092617101750625"	3721.27461063112	-5251.6672068514	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102310392-1"	"1017092617102310392-1"	7578.44108602673	-5598.62040022293	"VPM"	"VPM"	7	12	0	4	8	2	19	6	3	27	3	3
"1017092617101750634"	"1017092617101750634"	3542.47335309861	-5280.99459003894	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070736"	"1017092617102070736"	7298.1992289791	-5353.75734950773	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070437"	"1017092617102070437"	7556.86183001996	-5107.71482471704	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102530066"	"1017092617102530066"	6747.08326305967	-5938.37661506332	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617101980520-1"	"1017092617101980520-1"	3203.84818925857	-5687.28460419826	"VPL"	"VPL"	7	12	0	4	8	2	19	6	3	19	7	0
"1017092617102240294"	"1017092617102240294"	4013.22110528586	-6028.83825652466	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617102550117"	"1017092617102550117"	7471.23619974151	-5947.06608798215	"VPL"	"VPL"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102070489"	"1017092617102070489"	7582.41534198548	-5139.51008242199	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101840667"	"1017092617101840667"	7588.57443384403	-4670.94363296105	"LGd"	"LGd-co"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617102300089"	"1017092617102300089"	6966.78022958971	-5425.54186625829	"PO"	"PO"	2	12	0	18	4	1	18	18	0	19	7	0
"1017092617102070398"	"1017092617102070398"	7489.69176479282	-5099.65708185554	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070388"	"1017092617102070388"	7368.82073937518	-5111.74656131241	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	26	28	0
"1017092617102310505-1"	"1017092617102310505-1"	7313.65494742189	-5709.84746938482	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102310595"	"1017092617102310595"	7366.46677226867	-5792.93576112065	"VPM"	"VPM"	7	12	0	4	8	2	19	4	3	27	3	3
"1017092617102080711"	"1017092617102080711"	7734.2720437292	-5191.63970791308	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617202310502"	"1017092617202310502"	7517.93725023767	-5753.82173012563	"VPL"	"VPL"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617101840222"	"1017092617101840222"	7624.28090551049	-4444.87044652105	"LGd"	"LGd-ip"	4	4	5	3	20	5	10	1	5	20	12	5
"1017092617101990142-1"	"1017092617101990142-1"	3570.99748664654	-5361.77599106739	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617201750512"	"1017092617201750512"	3607.27563995682	-5226.26093339111	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	19	28	0
"1017092617101980510-1"	"1017092617101980510-1"	3200.25946609186	-5674.20664754596	"VPL"	"VPL"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617101750641"	"1017092617101750641"	3395.01287130607	-5302.37116424457	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750612"	"1017092617101750612"	3590.43554181244	-5260.92548532812	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102310385-1"	"1017092617102310385-1"	7346.55181803515	-5598.28549144536	"VPM"	"VPM"	7	12	0	4	8	2	19	9	3	11	25	17
"1017092617102500590"	"1017092617102500590"	5316.51310553888	-6592.29984351603	"RE"	"RE"	5	5	4	20	2	15	9	11	17	23	22	25
"1017092617102500654"	"1017092617102500654"	5258.3824436244	-6718.85908174109	"TH-unassigned"	"TH-unassigned"	14	10	4	20	2	15	22	11	17	23	22	25
"1017092617101560583"	"1017092617101560583"	5732.91845531901	-4416.29488782501	"MH"	"MH"	9	6	11	14	7	14	12	5	14	25	2	14
"1017092617101540615-1"	"1017092617101540615-1"	5242.35809779822	-4342.53351195767	"MH"	"MH"	9	6	11	14	10	14	12	4	14	25	19	14
"1017092617101750475"	"1017092617101750475"	3594.10293135844	-5160.36662811945	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102060588"	"1017092617102060588"	7100.81582405924	-5347.53574399882	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617101750363"	"1017092617101750363"	3479.39571845327	-5135.12473051917	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102070329"	"1017092617102070329"	7499.57248152033	-5036.48167690462	"VPM"	"VPM"	2	2	0	18	4	1	18	18	0	22	28	0
"1017092617102000458-1"	"1017092617102000458-1"	3995.83313182698	-5599.70926327622	"VPM"	"VPM"	2	2	0	4	8	1	19	6	3	19	7	0
