	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	STAGATE_config_default_label	SCAN-IT_config_default_label	scanpy_config_default_label	bass_config_default_label	CellCharter_config_default_label
spinalcord_3423	4176.3963963964	6007.932432432429	15.4324324324324	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3424	4926.64977973568	6264.82599118943	11.801762114537402	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3425	5274.78919491525	6077.21292372881	10.1218220338983	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3426	4486.29818181818	6262.64363636364	14.487272727272698	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3427	4662.15577889447	6067.56783919598	16.005025125628098	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3428	4405.16929133858	5970.5157480315	13.4291338582677	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3429	4354.32474226804	5927.21391752577	15.6469072164948	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3430	4266.61481481481	6133.6148148148095	16.9407407407407	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3431	4270.62096774194	6075.34677419355	14.9516129032258	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3432	5061.21981424149	6626.1052631579005	13.7708978328173	STARmap_plus	spinalcord	7	6	0	4	1.39214303159018	1	2	1	0	6	2
spinalcord_3433	4571.01937984496	5948.12403100775	12.7906976744186	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3434	4651.82835820896	6033.91044776119	16.7835820895522	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3435	4421.33898305085	5884.02259887006	13.1412429378531	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3436	4902.32027027027	5521.81216216216	10.8797297297297	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3437	4345.479381443301	6048.5567010309305	16.3505154639175	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3438	4504.6034063260295	5567.386861313871	8.96350364963504	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3439	4617.98387096774	5966.95161290323	19.435483870967698	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3440	4785.28096118299	6095.598890942701	11.2070240295749	STARmap_plus	spinalcord	7	6	0	4	1.53074309813497	6	6	1	0	6	6
spinalcord_3441	4282.87894736842	6019.415789473679	12.7631578947368	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3442	4785.03092783505	6179.0824742268005	10.6202749140893	STARmap_plus	spinalcord	7	6	0	4	1.53074309813497	6	6	1	0	6	6
spinalcord_3443	4914.13723150358	6381.21957040573	14.8961813842482	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3444	4311.57608695652	5976.13043478261	12.6195652173913	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3445	4633.0	5975.1052631579005	13.052631578947402	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3446	4777.06529209622	6667.120274914089	18.1855670103093	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3447	5083.038240917779	5669.510516252391	9.67686424474187	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3448	5313.30487804878	6194.92926829268	13.348780487804898	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3449	4522.26744186046	6556.8992248062	13.0174418604651	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3450	4939.79779917469	6025.3507565337	8.27922971114168	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3451	4796.668085106379	6355.32056737589	12.0411347517731	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3452	5167.55511811024	6792.944881889761	12.1968503937008	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3453	5390.269076305221	6432.811244979921	13.6224899598394	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3454	4376.023255813951	6764.558139534879	16.651162790697697	STARmap_plus	spinalcord	7	6	0	4	1.39214303159018	1	2	1	0	6	2
spinalcord_3455	4882.50297619048	6733.80654761905	18.4821428571429	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3456	4644.54523227384	6800.08557457213	18.012224938875303	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3457	5147.206896551721	6404.93333333333	12.2275862068966	STARmap_plus	spinalcord	7	6	0	4	1.12516222519551	1	6	1	0	4	2
spinalcord_3458	5396.30263157895	6647.381578947371	16.9035087719298	STARmap_plus	spinalcord	7	6	0	4	1.2475491601766	1	6	2	0	6	2
spinalcord_3459	5214.258823529411	6402.29019607843	14.0274509803922	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3460	5299.14569536424	6386.03973509934	16.4105960264901	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3461	4941.9375	6534.5546875	13.1953125	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3462	4983.72807017544	6761.28947368421	11.9795321637427	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3463	4879.16506024096	5855.03855421687	8.085542168674701	STARmap_plus	spinalcord	7	6	0	4	1.53074309813497	6	6	1	0	6	6
spinalcord_3464	5051.3227953411	6416.8419301164695	13.6555740432612	STARmap_plus	spinalcord	7	6	0	4	1.21671324925119	1	6	1	2	4	2
spinalcord_3465	4351.16465863454	6650.959839357429	13.1084337349398	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3466	5396.75287356322	5586.47701149425	18.8850574712644	STARmap_plus	spinalcord	7	6	0	1	1.32456551357215	3	2	1	0	6	2
spinalcord_3467	5189.37735849057	5974.8867924528295	5.11792452830189	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3468	4282.478723404261	5462.52836879433	10.7482269503546	STARmap_plus	spinalcord	7	6	3	1	1.22150795045872	3	2	1	0	7	6
spinalcord_3469	4770.38624338624	6507.21693121693	19.3544973544974	STARmap_plus	spinalcord	7	6	0	4	1.43149043873974	1	2	1	0	6	6
spinalcord_3470	4233.145714285711	5730.734285714289	12.9314285714286	STARmap_plus	spinalcord	7	7	5	3	1.22324515049669	6	2	6	0	7	6
spinalcord_3471	5431.85915492958	6553.74647887324	16.014084507042302	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3472	5059.93103448276	6721.8275862069	13.4291187739464	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3473	4207.68503937008	6656.87401574803	17.1732283464567	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3474	4160.206666666671	5604.25333333333	14.64	STARmap_plus	spinalcord	7	6	3	1	1.22150795045872	3	2	1	0	7	6
spinalcord_3475	5369.5	6528.708108108111	15.4216216216216	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3476	4487.3470790378005	6402.90721649485	10.020618556701	STARmap_plus	spinalcord	7	7	5	4	1.21554351515713	6	2	6	0	6	6
spinalcord_3477	4631.790322580639	5466.74462365591	10.8387096774194	STARmap_plus	spinalcord	7	6	0	4	1.43149043873974	1	2	1	0	6	6
spinalcord_3478	4541.37380191693	6683.156549520771	14.3833865814696	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3479	5125.815028901729	6000.6011560693605	5.96531791907514	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3480	5096.611738148979	5568.04063205418	16.3769751693002	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3481	5102.99290780142	6323.751773049649	13.2553191489362	STARmap_plus	spinalcord	7	6	0	4	1.21671324925119	1	6	1	2	4	2
spinalcord_3482	4825.8773006135	6612.46012269939	16.1533742331288	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3483	4461.60080645161	5485.71370967742	13.717741935483902	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3484	4459.15254237288	5814.305084745761	7.745762711864411	STARmap_plus	spinalcord	7	7	3	3	0.487321824524552	7	7	6	6	4	6
spinalcord_3485	4165.4	6407.84	13.375	STARmap_plus	spinalcord	7	6	0	4	1.27447551429785	1	6	6	0	6	6
spinalcord_3486	4222.05945945946	5669.75675675676	10.3783783783784	STARmap_plus	spinalcord	7	6	3	1	1.22150795045872	3	2	1	0	7	6
spinalcord_3487	4845.67892976589	6031.1003344481605	8.40468227424749	STARmap_plus	spinalcord	7	6	0	4	1.53074309813497	6	6	1	0	6	6
spinalcord_3488	5059.00234741784	6038.255868544599	7.73943661971831	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
spinalcord_3489	4893.20731707317	6626.38414634146	17.670731707317103	STARmap_plus	spinalcord	7	6	0	4	1.33910018423228	1	6	1	0	6	2
spinalcord_3490	4816.24568965517	5518.086206896551	6.987068965517241	STARmap_plus	spinalcord	7	6	0	4	1.39298226204197	1	6	1	0	6	6
