	x	y	z	data	sample	cluster_number	consensus_lca	consensus_weighted	consensus_kmode	cross_method_entropy	SEDR_config_default_label	BANKSY_config_default_label	SpaceFlow_config_default_label	precast_config_default_label	CellCharter_config_default_label	seurat_config_default_label
1019171907102980310	7530.744379926707	-5923.147493843985	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907102760329	7141.651719362053	-5627.669457245174	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907102750306	6781.570463231313	-5904.598361579024	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.63772676243696	6	1	0	4	2	8
1019171907102980186	7432.501563060894	-5793.963196932934	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907101390557	3658.397778144643	-4942.742613170164	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	13	1	17	1.59921858573918	4	10	1	9	2	1
1019171907102770027	7437.773165391916	-4930.196677788915	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	1	16	1.5025717264009	12	5	0	3	2	1
1019171907102760473	7255.904745146577	-5724.601957640722	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	3	0	18	1.56925127483275	6	1	0	15	16	5
1019171907102540252-1	6823.746158930764	-5112.6931641031215	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.56925127483275	5	2	1	3	2	1
1019171907102050179-1	4271.534031734788	-5994.341982679278	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	8	1.41404883394759	5	2	1	15	2	5
1019171907101620393	4063.451043897897	-5153.29996878025	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	12	1	16	1.56925127483275	5	2	1	3	2	1
1019171907102560377-1	7414.696343540215	-4622.230667686699	6600.0	abc_atlas_wmb_thalamus	C57BL6J-638850_6600	18	17	2	4	1.56071040904141	13	4	2	8	1	7
