	x	y	data	sample	cluster_number	consensus_kmode	cross_method_entropy	BANKSY_config_default_label	SCAN-IT_config_default_label	SpaceFlow_config_default_label	DRSC_config_default_label	SCAN-IT_config_seqFISH_mouse_SScortex_label	stardust_config_default_label
FN4_D1_batch2_169_160	402	-17	stereoseq_liver	FN4_D1_batch2	9	5	1.55131477129594	3	4	3	1	0	2
FN4_D1_batch2_210_282	443	105	stereoseq_liver	FN4_D1_batch2	9	5	1.48495290132354	1	0	4	4	0	3
FN4_D1_batch2_150_88	383	-89	stereoseq_liver	FN4_D1_batch2	9	7	1.44560549417398	7	3	0	3	2	1
FN4_D1_batch2_224_117	457	-60	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_181_164	414	-13	stereoseq_liver	FN4_D1_batch2	9	3	1.39256264681608	3	7	1	7	2	5
FN4_D1_batch2_233_235	466	58	stereoseq_liver	FN4_D1_batch2	9	5	1.49397212147517	1	0	4	1	0	3
FN4_D1_batch2_236_214	469	37	stereoseq_liver	FN4_D1_batch2	9	5	1.35877388780706	1	6	3	1	3	3
FN4_D1_batch2_154_69	387	-108	stereoseq_liver	FN4_D1_batch2	9	8	1.48200005323994	6	5	6	1	3	1
FN4_D1_batch2_223_195	456	18	stereoseq_liver	FN4_D1_batch2	9	8	1.28398963319414	6	2	6	6	0	2
FN4_D1_batch2_138_198	371	21	stereoseq_liver	FN4_D1_batch2	9	3	1.51578881224895	4	1	0	7	2	6
FN4_D1_batch2_195_221	428	44	stereoseq_liver	FN4_D1_batch2	9	3	1.6458480130024	4	1	1	2	2	6
FN4_D1_batch2_192_241	425	64	stereoseq_liver	FN4_D1_batch2	9	3	1.59921858573918	4	1	1	3	2	0
FN4_D1_batch2_131_209	364	32	stereoseq_liver	FN4_D1_batch2	9	7	1.6458480130024	9	4	2	3	1	0
FN4_D1_batch2_214_175	447	-2	stereoseq_liver	FN4_D1_batch2	9	9	1.12995692640304	6	2	5	6	0	2
FN4_D1_batch2_179_196	412	19	stereoseq_liver	FN4_D1_batch2	9	7	1.59963820096508	3	1	0	3	1	0
FN4_D1_batch2_228_240	461	63	stereoseq_liver	FN4_D1_batch2	9	3	1.6458480130024	4	1	1	2	2	6
FN4_D1_batch2_131_174	364	-3	stereoseq_liver	FN4_D1_batch2	9	4	1.60733983630463	9	4	2	6	1	0
FN4_D1_batch2_194_180	427	3	stereoseq_liver	FN4_D1_batch2	9	1	1.52262184756953	3	1	0	3	2	0
FN4_D1_batch2_172_231	405	54	stereoseq_liver	FN4_D1_batch2	9	3	1.51578881224895	4	1	0	7	2	6
FN4_D1_batch2_217_94	450	-83	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_183_73	416	-104	stereoseq_liver	FN4_D1_batch2	9	2	1.43537062597672	8	5	6	1	3	1
FN4_D1_batch2_151_258	384	81	stereoseq_liver	FN4_D1_batch2	9	9	1.52262184756953	5	0	2	3	0	0
FN4_D1_batch2_230_174	463	-3	stereoseq_liver	FN4_D1_batch2	9	3	1.30059200753451	4	3	1	7	4	7
FN4_D1_batch2_197_97	430	-80	stereoseq_liver	FN4_D1_batch2	9	8	1.41695576807962	2	5	4	1	3	4
FN4_D1_batch2_224_227	457	50	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_208_265	441	88	stereoseq_liver	FN4_D1_batch2	9	3	1.52220223234363	4	1	0	7	2	0
FN4_D1_batch2_207_289	440	112	stereoseq_liver	FN4_D1_batch2	9	9	1.53074309813497	5	6	2	3	3	0
FN4_D1_batch2_141_140	374	-37	stereoseq_liver	FN4_D1_batch2	9	8	1.2475491601766	2	2	2	6	0	1
FN4_D1_batch2_185_223	418	46	stereoseq_liver	FN4_D1_batch2	9	3	1.51578881224895	4	1	0	7	2	6
FN4_D1_batch2_201_254	434	77	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_158_137	391	-40	stereoseq_liver	FN4_D1_batch2	9	8	1.46229698009796	2	2	4	6	5	1
FN4_D1_batch2_158_73	391	-104	stereoseq_liver	FN4_D1_batch2	9	9	1.30059200753451	7	5	2	3	3	7
FN4_D1_batch2_127_213	360	36	stereoseq_liver	FN4_D1_batch2	9	9	1.40592758338214	5	6	5	6	0	0
FN4_D1_batch2_171_226	404	49	stereoseq_liver	FN4_D1_batch2	9	3	1.6458480130024	4	1	1	2	2	6
FN4_D1_batch2_225_158	458	-19	stereoseq_liver	FN4_D1_batch2	9	8	1.38411089260836	2	2	4	1	5	2
FN4_D1_batch2_177_71	410	-106	stereoseq_liver	FN4_D1_batch2	9	9	1.5611300242673	8	5	6	6	3	1
FN4_D1_batch2_162_119	395	-58	stereoseq_liver	FN4_D1_batch2	9	6	1.16325078666739	7	3	0	7	2	5
FN4_D1_batch2_167_107	400	-70	stereoseq_liver	FN4_D1_batch2	9	1	1.4387724588534	7	3	0	3	2	7
FN4_D1_batch2_183_121	416	-56	stereoseq_liver	FN4_D1_batch2	9	8	1.46957900021162	2	2	3	1	5	1
FN4_D1_batch2_202_264	435	87	stereoseq_liver	FN4_D1_batch2	9	5	1.43065120828796	1	4	3	6	0	3
FN4_D1_batch2_189_124	422	-53	stereoseq_liver	FN4_D1_batch2	9	8	1.43065120828796	2	3	2	3	7	1
FN4_D1_batch2_150_102	383	-75	stereoseq_liver	FN4_D1_batch2	9	8	1.47770025077707	6	2	6	1	0	1
FN4_D1_batch2_130_208	363	31	stereoseq_liver	FN4_D1_batch2	9	7	1.6458480130024	9	4	2	3	1	0
FN4_D1_batch2_234_142	467	-35	stereoseq_liver	FN4_D1_batch2	9	2	1.56071040904141	8	5	7	5	6	1
FN4_D1_batch2_204_74	437	-103	stereoseq_liver	FN4_D1_batch2	9	2	1.48369405564586	8	5	7	5	6	4
FN4_D1_batch2_200_291	433	114	stereoseq_liver	FN4_D1_batch2	9	9	1.41695576807962	5	6	5	6	3	0
FN4_D1_batch2_144_250	377	73	stereoseq_liver	FN4_D1_batch2	9	9	1.40592758338214	5	6	5	6	0	0
FN4_D1_batch2_212_126	445	-51	stereoseq_liver	FN4_D1_batch2	9	8	1.1723159207706	2	2	4	1	3	4
FN4_D1_batch2_197_281	430	104	stereoseq_liver	FN4_D1_batch2	9	5	1.35835427258117	1	0	3	1	0	3
FN4_D1_batch2_219_122	452	-55	stereoseq_liver	FN4_D1_batch2	9	2	1.44009004366548	8	5	7	1	3	4
FN4_D1_batch2_201_188	434	11	stereoseq_liver	FN4_D1_batch2	9	5	1.4922349214372	1	0	4	1	0	2
FN4_D1_batch2_207_110	440	-67	stereoseq_liver	FN4_D1_batch2	9	8	1.41695576807962	2	5	4	1	3	4
FN4_D1_batch2_210_283	443	106	stereoseq_liver	FN4_D1_batch2	9	5	1.48495290132354	1	0	4	4	0	3
FN4_D1_batch2_144_186	377	9	stereoseq_liver	FN4_D1_batch2	9	5	1.40667770225031	1	0	3	1	1	2
FN4_D1_batch2_159_126	392	-51	stereoseq_liver	FN4_D1_batch2	9	8	1.43191005396564	2	2	4	1	5	1
FN4_D1_batch2_216_253	449	76	stereoseq_liver	FN4_D1_batch2	9	3	1.6458480130024	4	1	1	2	2	6
